Qaṣrūh min Timrāz al-Ẓāhirī 145	ʾamīr 100 (al-Qāhira/Cairo)
Timurbāy al-Timurbughāwī 147	ʾamīr 010 (al-Qāhira/Cairo)
Timurbāy al-Timurbughāwī 147	ʾamīr 100 (al-Qāhira/Cairo)
Timurbāy al-Timurbughāwī 147	ʾamīr 040 (al-Qāhira/Cairo)
Birdibak 148	ʾatābak ʿasākir (Ḥalab/Aleppo)
ʾIrdbughā al-Rashīdī 150	ʾamīr 100 (Dimashq/Damascus)
Kurdī Bāk b. Kandar 152	ʾamīr Turkumān
Kurdī Bāk b. Kandar 152	ʾamīr Turkumān
Muḥammad b. Manjak 161	ʾamīr 100 (Dimashq/Damascus)
ʾĀq Bulāṭ al-Damurdāshī 162	ʾamīr 100 (al-Qāhira/Cairo)
ʾĀq Bulāṭ al-Damurdāshī 162	ʾamīr 100 (al-Qāhira/Cairo)
Jahān Kīr 166	ʾamīr (Ḥalab/Aleppo)
Qānī Bāy al-Ḥamzāwī 176	ʾamīr 100 (al-Qāhira/Cairo)
Qānī Bāy al-Ḥamzāwī 176	ʾamīr 010 (al-Qāhira/Cairo)
Qānī Bāy al-Ḥamzāwī 176	ʾamīr 040 (al-Qāhira/Cairo)
Qānī Bāy al-Ḥamzāwī 176	ʾatābak ʿasākir (Dimashq/Damascus)
Birdibak al-ʿAjamī al-ʾAʿwar 177	baṭṭāl
Birdibak al-ʿAjamī al-ʾAʿwar 177	ʾamīr 100 (Dimashq/Damascus)
Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	ʾamīr (Dimashq/Damascus)
Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	ʾamīr 100 (al-Qāhira/Cairo)
Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	ʾamīr 100 (al-Qāhira/Cairo)
Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	ʾamīr 100 (Dimashq/Damascus)
Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	ʾamīr 100 (al-Qāhira/Cairo)
Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	ʾamīr 100 (Dimashq/Damascus)
Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	ʾamīr 040 (al-Qāhira/Cairo)
Jānibak al-Maḥmūdī 181	ʾamīr 010 (al-Qāhira/Cairo)
Jānibak al-Maḥmūdī 181	ʾamīr 020 (Ṭarābulis/Tripoli)
Jānibak al-Maḥmūdī 181	baṭṭāl
Jānibak al-Maḥmūdī 181	ʾamīr (Ṭarābulis/Tripoli)
Jānibak al-Maḥmūdī 181	khāṣṣakīya (sulṭān)
Jānibak al-Maḥmūdī 181	ʾamīr (Ḥalab/Aleppo)
Jānibak al-Maḥmūdī 181	ʾamīr 040 (Ṭarābulus/Tripoli)
ʿAbd al-Razzāq b. al-Hayṣam 183	baṭṭāl
Qujaq al-ʿĪsāwī 207	ʾamīr silāḥ (sulṭān)
Qujaq al-ʿĪsāwī 207	ʾamīr 100 (al-Qāhira/Cairo)
Qujaq al-ʿĪsāwī 207	ʾatābak ʿasākir (al-Qāhira/Cairo)
al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	ʾatābak ʿasākir (al-Qāhira/Cairo)
al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	ʾamīr 100 (al-Qāhira/Cairo)
al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	raʾs maysara (al-Qāhira/Cairo)
Tanbak al-Bajāsī  212	ʾamīr 010 (al-Qāhira/Cairo)
Jānibāk al-Muʾayyadī al-Dawādār 213	ʾamīr 040 (al-Qāhira/Cairo)
Jānibāk al-Muʾayyadī al-Dawādār 213	ʾamīr 100 (al-Qāhira/Cairo)
Quṭuj min Timrāz al-Ẓāhirī 216	ʾatābak ʿasākir (Ḥalab/Aleppo)
Quṭuj min Timrāz al-Ẓāhirī 216	ʾamīr kabīr (Ḥalab/Aleppo)
Quṭuj min Timrāz al-Ẓāhirī 216	ʾamīr 100 (al-Qāhira/Cairo)
Quṭuj min Timrāz al-Ẓāhirī 216	ʾamīr 040 (al-Qāhira/Cairo)
Quṭuj min Timrāz al-Ẓāhirī 216	ʾamīr 100 (al-Qāhira/Cairo)
Quṭuj min Timrāz al-Ẓāhirī 216	ʾamīr 010 (al-Qāhira/Cairo)
Quṭuj min Timrāz al-Ẓāhirī 216	ʾamīr 100 (al-Qāhira/Cairo)
Quṭuj min Timrāz al-Ẓāhirī 216	ʾamīr 100 (Ḥalab/Aleppo)
ʾIbrāhīm b. al-Muʾayyad Shaykh 217	ʾatābak ʿasākir (al-Qāhira/Cairo)
ʾIbrāhīm b. al-Muʾayyad Shaykh 217	ʾamīr 100 (al-Qāhira/Cairo)
Baktamur Julaq 220	ʾamīr (general)
Baktamur Julaq 220	ʾamīr 100 (al-Qāhira/Cairo)
Baktamur Julaq 220	ʾamīr 010 (al-Qāhira/Cairo)
Baktamur Julaq 220	ʾamīr 040 (al-Qāhira/Cairo)
Baktamur Julaq 220	ʾatābak ʿasākir (Dimashq/Damascus)
Baktamur Julaq 220	nāʾib ghayba (Dimashq/Damascus)
Baktamur Julaq 220	raʾs maysara (al-Qāhira/Cairo)
ʾAlṭunbughā al-Qirmishī 221	ʾamīr kabīr (al-Qāhira/Cairo)
ʾAlṭunbughā al-Qirmishī 221	ʾatābak ʿasākir (al-Qāhira/Cairo)
ʾAlṭunbughā al-Qirmishī 221	ʾamīr 
