source	target	weight	type
Shaqrāʾ bt. al-Nāṣir Faraj 2487	Khalīl b. al-Nāṣir Faraj 672	15	sibling of
Muḥammad b. Lāqī 2490	Yaḥyā b. Lāqī 2009	20	parent of
Muḥammad al-Maqrīzī 2493	ʾAḥmad al-Maqrīzī 2494	15	sibling of
ʾAḥmad al-Maqrīzī 2494	Muḥammad al-Maqrīzī 2493	15	sibling of
ʾAḥmad al-Maqrīzī 2494	Muḥammad b. al-Ṣāʾigh 3518	10	relative of
ʾAḥmad b. al-Bārizī 2495	Kamāl al-Dīn b. al-Bārizī 99	15	sibling of
ʿAbd al-Karīm b. Makānis 2510	Zayn al-Dīn b. ʾIbrāhīm ib. Makānis 2512	15	sibling of
ʿAbd al-Karīm b. Makānis 2510	ʿAbd al-Raḥmān b. Makānis  2511	15	sibling of
ʿAbd al-Raḥmān b. Makānis  2511	banāt ʿAbd al-Raḥmān b. Makānis 4230	20	parent of
ʿAbd al-Raḥmān b. Makānis  2511	Faḍl ʾAllāh b. Makānis 2496	20	parent of
ʿAbd al-Raḥmān b. Makānis  2511	Zayn al-Dīn b. ʾIbrāhīm ib. Makānis 2512	15	sibling of
ʿAbd al-Raḥmān b. Makānis  2511	ʿAbd al-Karīm b. Makānis 2510	15	sibling of
Zayn al-Dīn b. ʾIbrāhīm ib. Makānis 2512	ʿAbd al-Raḥmān b. Makānis  2511	15	sibling of
Zayn al-Dīn b. ʾIbrāhīm ib. Makānis 2512	ʿAbd al-Karīm b. Makānis 2510	15	sibling of
ʾIbrāhīm b. Kātib Jakam 2552	Jamāl al-Dīn b. Kātib Jakam 571	15	sibling of
Nāṣir al-Dīn Naṣr Allāh al-Ḥanbalī 2560	Burhān al-Dīn ʾIbrāhīm al-Ḥanbalī 4608	20	parent of
Nāṣir al-Dīn Naṣr Allāh al-Ḥanbalī 2560	Muwaffaq al-Dīn ʾAḥmad al-Ḥanbalī 4609	20	parent of
ʾAbū Bakr b. ʿAlī 2597	Shihāb al-Dīn ʾAḥmad al-Ḥusaynī 912	15	sibling of
ʾAbū Bakr b. ʿAlī 2597	ʾAḥmad b. al-Saffāḥ 2669	15	sibling of
Ḥasan b. al-Qudsī 2610	Rumaytha b. Muḥammad b. ʿAjlān 457	1	uncle of
ʾAḥmad b. al-Saffāḥ 2669	ʿUmar b. ʿAḥmad b. al-Saffāḥ 529	20	parent of
ʾAḥmad b. al-Saffāḥ 2669	ʾAbū Bakr b. ʿAlī 2597	15	sibling of
Kamāl al-Dīn b. al-Humām 2670	Ḥamīd al-Dīn ʿAbd al-Ḥamīd 3942	10	relative of
Kamāl al-Dīn b. al-Humām 2670	Saʿd al-Dīn Masʿūd  3943	10	relative of
ʾIṣbahān b. Qarā Yūsuf 2684	Shāh Muḥammad b. Qarā Yūsuf 341	15	sibling of
ʾIṣbahān b. Qarā Yūsuf 2684	ʾIskandar b. Qarā Yūsuf 141	15	sibling of
Dāwud b. Sayf ʾArʿad 2690	Tadrus* b. Dāwud 2691	20	parent of
Dāwud b. Sayf ʾArʿad 2690	ʾIsḥāq b. Dāwud 1143	20	parent of
Dāwud b. Sayf ʾArʿad 2690	Ḥazbanāy* b. Dāwud 2697	20	parent of
Tadrus* b. Dāwud 2691	ʾIsḥāq b. Dāwud 1143	15	sibling of
Muḥammad b. Walaṣmaʿ 2692	Manṣūr b. Muḥammad b. Walaṣmaʿ 2693	20	parent of
Muḥammad b. Walaṣmaʿ 2692	Muḥammad b. Muḥammad b. Walaṣmaʿ 2694	20	parent of
Manṣūr b. Muḥammad b. Walaṣmaʿ 2693	Jamāl al-Dīn b. Walaṣmaʿ  3902	15	sibling of
Manṣūr b. Muḥammad b. Walaṣmaʿ 2693	Muḥammad b. Muḥammad b. Walasmaʿ 3903	15	sibling of
ʾIndrās b. ʾIsḥaq 2695	Salmūn b. ʾIsḥāq 2698	15	sibling of
ʾIndrās b. ʾIsḥaq 2695	Ḥazbanāy* b. Dāwud 2697	5	nephew of
Ḥazbanāy* b. Dāwud 2697	ʾIndrās b. ʾIsḥaq 2695	1	uncle of
Salmūn b. ʾIsḥāq 2698	ʾIndrās b. ʾIsḥaq 2695	15	sibling of
ʿImād al-Dīn al-Karakī 2705	Nāṣir al-Dīn Muḥammad al-Muqayrī 2788	15	sibling of
ʿImād al-Dīn al-Karakī 2705	ʿAlāʾ al-Dīn ʿAlī al-Muqayrī 2789	15	sibling of
Qāsim b. Qarā Yuluk 2715	Jahān Kīr 166	10	relative of
dhurrīyat Tīmūr Lank 2716	Tīmūrlank 1249	10	relative of
Shīrīn al-Rūmīya 2741	al-Nāṣir Faraj b. Barqūq 14	20	parent of
Shīrīn al-Rūmīya 2741	Taghrī Birdī al-Bashbughāwī  1889	10	relative of
Sūdūn al-Ẓāhirī 2743	al-Ẓāhir Barqūq 4	10	relative of
Qāsim b. Taghrī Birdī 2744	Yūsuf b. Taghrī Birdī 924	15	sibling of
Ḥamza b. Taghrī Birdī 2745	Yūsuf b. Taghrī Birdī 924	15	sibling of
Bayram bint Taghrī Birdī 2746	Yūsuf b. Taghrī Birdī 924	15	sibling of
Hājir bint Taghrī Birdī 2747	Yūsuf b. Taghrī Birdī 924	15	sibling of
Hājir bint Taghrī Birdī 2747	Yūsuf b. Taghrī Birdī 924	15	sibling of
ʾIbrāhīm b. Taghrī Birdī 2748	Yūsuf b. Taghrī Birdī 924	15	sibling of
ʾIsmāʿīl b. Taghrī Birdī 2749	Yūsuf b. Taghrī Birdī 924	15	sibling of
Muḥammad b. Taghrī Birdī 2750	Yūsuf b. Taghrī Birdī 924	15	sibling of
ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751	Ibnat Khalīl b. al-Nāṣir Faraj 4034	20	parent of
ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751	Yūsuf b. Taghrī Birdī 924	15	sibling of
ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751	Yūsuf b. Taghrī Birdī 924	15	sibling of
ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751	Yūsuf b. Taghrī Birdī 924	15	sibling of
ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751	Yūsuf b. Taghrī Birdī 924	15	sibling of
Sārā bint al-Ẓāhir Barqūq 2752	Ibn Muqbil al-Rūmī al-Ẓāhirī 4604	20	parent of
Sārā bint al-Ẓāhir Barqūq 2752	al-Nāṣir Faraj b. Barqūq 14	15	sibling of
ʿAlāʾ al-Dīn ʿAlī b. ʿAdnān 2755	Shihāb al-Dīn ʾAḥmad al-Ḥusaynī 912	20	parent of
ʿAbd al-Wahhāb al-Khaṭīr 2774	Ibn Tāj al-Dīn al-Khaṭīr 190	20	parent of
ʿAbd al-Wahhāb al-Khaṭīr 2774	Shams al-Dīn ʾAbu l-Ḥasan 3356	20	parent of
Nāṣir al-Dīn Muḥammad al-Muqayrī 2788	ʿImād al-Dīn al-Karakī 2705	15	sibling of
Nāṣir al-Dīn Muḥammad al-Muqayrī 2788	ʿAlāʾ al-Dīn ʿAlī al-Muqayrī 2789	15	sibling of
ʿAlāʾ al-Dīn ʿAlī al-Muqayrī 2789	Nāṣir al-Dīn Muḥammad al-Muqayrī 2788	15	sibling of
ʿAlāʾ al-Dīn ʿAlī al-Muqayrī 2789	ʿImād al-Dīn al-Karakī 2705	15	sibling of
Nāṣir al-Dīn b. bint al-Maylaq 2791	Shihāb al-Dīn b. Maylaq 4516	10	relative of
Māḍī 2799	ʿUmayra b. Jamīl b. Yūsuf 1633	15	sibling of
ʾAḥmad b. ʿAjlān 2800	Muḥammad b. ʾAḥmad b. ʿAjlān 2336	20	parent of
ʾAḥmad b. ʿAjlān 2800	Ḥasan b. ʿAjlān al-Ḥasanī 334	15	sibling of
ʾAḥmad b. ʿAjlān 2800	Muḥammad b. ʿAjlān 4468	15	sibling of
ʾAḥmad b. ʿAjlān 2800	Thaqaba 4466	5	nephew of
ʾAḥmad b. ʿAjlān 2800	Sanad b. Rumaytha 4408	5	nephew of
ʾAḥmad b. ʿAjlān 2800	Zayn al-Dīn ʿInān b. Mughāmis 2338	10	relative of
ʾAḥmad b. ʿAjlān 2800	ʾAḥmad b. Thaqaba 4469	10	relative of
Ghayth b. Naṣīr al-Dīn 2842	Ḥamza b. Ghayth b. Naṣīr al-Dīn 2841	20	parent of
Shakarbāy al-ʾAḥmadīya 2860	Khātūn 2918	20	parent of
Shakarbāy al-ʾAḥmadīya 2860	Ibn ʾAbrak al-Jakamī 3960	20	parent of
Shakarbāy al-ʾAḥmadīya 2860	al-Shihābī ʾAḥmad b. al-ʿAynī 2922	20	parent of
Shakarbāy al-ʾAḥmadīya 2860	Walad al-Ẓāhir Khushqadam (1) 3962	20	parent of
Shakarbāy al-ʾAḥmadīya 2860	Walad al-Ẓāhir Khushqadam (2) 3963	20	parent of
Shakarbāy al-ʾAḥmadīya 2860	Walad al-Ẓāhir Khushqadam (3) 3964	20	parent of
Shakarbāy al-ʾAḥmadīya 2860	al-Shihābī ʾAḥmad b. al-ʿAynī 2922	10	relative of
Sirāj al-Dīn ʿUmar b. al-Mulaqqin 2862	ʿĪsā al-Maghribī  al-Mulaqqin 4404	10	relative of
Muḥammad b. ʾAbī al-Baqāʾ 2863	al-Jalāl Muḥammad b. ʾAbi l-Baqāʾ 1393	20	parent of
ʾAydamur al-dawādār 2889	Bint ʾAydamur al-dawādār 2888	20	parent of
