Source	Target	Weight
النحوي	بعلبك	5
المخزومي	مكة	2
الخادم	المولي	2
الازدي	الشام	2
المرسي	المقريء	4
الصالحي	الفارسي	2
الاسكندرية	خراسان	2
الواعظ	دمشق	16
الرازي	الشام	3
الدمشقي	الضرير	6
الجزيرة	مصر	12
الغرناطي	مالقة	4
المتولي	دمشق	4
البخاري	نيسابور	4
الرحبي	دمشق	3
المتكلم	المقريء	2
افريقية	الامير	3
اللغوي	دمشق	4
حماة	همذان	3
الدمشقي	الشاعر	13
الثعلبي	الفقيه	3
التاجر	الرومي	3
اليمن	حران	8
الهند	غزنة	6
البغدادي	الدباس	2
الحريمي	العطار	2
الطواشي	دمياط	2
الداري	المولي	2
القاضي	القيسي	3
الشاغوري	دمشق	4
الاديب	الشام	10
الازدي	المغرب	2
الشام	سامراء	2
المفتي	دمشق	21
الزرزاري	دمشق	3
الفيوم	حلب	2
العقيلي	دمشق	7
الصالحي	الكردي	2
الصوفي	العلوي	2
الروم	غرناطة	3
الحلي	دمشق	4
اليمن	دمياط	2
سنجار	مصر	8
التاجر	المحدث	3
التغلبي	الشام	3
الغساني	مصر	3
العمري	المكي	2
الاسكندراني	الدمشقي	2
الدمشقي	السقطي	3
السلفي	دمشق	5
الرافضي	الفيلسوف	2
الشام	مردا	3
المقدمي	دمشق	2
القاهرة	بغداد	41
الجرجاني	المقريء	2
الاديب	اللغوي	12
المزة	بغداد	4
العسقلاني	المصري	8
اليمن	نيسابور	3
الزهري	بغداد	2
القرطبي	مكة	4
القيسي	المالقي	3
البغدادي	العباسي	13
المصري	الهمداني	5
المدينة	حلب	9
الضرير	حلب	2
الجزري	القاهرة	4
البارع	دمشق	21
الاشرفي	دمشق	3
الاسكندرية	المغرب	11
الامير	الملاح	2
الحنفي	الدمشقي	46
التميمي	القاهرة	2
اصبهان	الجماعيلي	2
دمشق	سجستان	2
اصبهان	العراق	10
الاسعردي	بعلبك	2
اربل	دمشق	38
الطاءي	بغداد	3
البارع	الحلبي	3
التكريتي	الفقيه	4
القصري	المغرب	2
الحلبي	بغداد	18
الاسكندرية	المفسر	2
الشام	حوران	2
حران	ماردين	2
الاقوش	الصالحي	3
الاديب	الحنبلي	6
سمرقند	مرو	3
الحلة	بغداد	9
النبوي	بغداد	2
الرقة	العراق	4
الاسكافي	الحريمي	2
الصالحي	الموصل	4
المخزومي	حلب	2
الشافعي	سنجار	4
الحريري	المصري	5
البارع	التلمساني	2
الشام	قيسارية	2
العلوي	حلب	4
الاسكندرية	قاسيون	3
الاغلبي	التميمي	3
البارع	المالكي	3
الجواد	دمشق	6
الخزرجي	المحدث	3
الكندي	بعلبك	2
البارع	المتكلم	2
الاسكندرية	الحنبلي	5
الخطيب	القرطبي	3
الاسكندرية	العراق	9
الحنفي	الكرك	2
البغدادي	الهند	4
الاسكندراني	البزاز	2
بخارى	دهستان	2
الاندلس	الشاعر	2
الجذامي	المصري	6
الظاهري	المولي	6
البخاري	مرو	2
الدمشقي	المغربي	2
مرو	مكة	4
الاسدي	المحدث	2
اشبيلية	مراكش	14
الامير	عكا	12
الشام	الطبيب	4
العراق	حلب	16
آمد	بغداد	6
البغدادي	الصوفي	52
القرشي	بعلبك	4
الروم	نابلس	2
الاميني	الفقيه	6
القرشي	النظامي	2
الجزيرة	مكة	3
الضرير	الهاشمي	3
الحلبي	الشام	12
البزاز	الواسطي	3
الانباري	الحنبلي	2
السلمي	الشاعر	7
العدوي	نصيبين	2
الاربلي	الموصلي	4
الظاهري	المصري	2
الحلبي	الكرابيسي	2
الطواشي	المولي	3
دمشق	قاسيون	73
الباجي	اللخمي	2
الصالحي	المقدسي	43
الاسدي	الشافعي	6
آمد	حران	3
بغداد	سامراء	5
اصبهان	هراة	9
مرو	واسط	2
الدمشقي	الموصل	14
