Source	Target	Weight
القيروان	فاس	4
ما وراء النهر	واسط	2
الباطني	الري	2
القانت	قاسيون	2
الشبلي	المقريء	3
الطالقان	سجستان	2
الاشبيلي	الغافقي	2
المدينة	الوادعي	2
الحجاز	الطائف	5
البلوي	مصر	2
الرقة	تدمر	2
الري	الصوفي	15
الشاعر	حماة	4
الشافعي	المغربي	2
الشام	النوبي	2
الصعيد	المقريء	5
العراق	عبادان	2
سرخس	مكة	9
ماردين	مصر	7
الميورقي	قرطبة	3
رندة	سبتة	3
التميمي	مصر	43
القيروان	المغرب	21
المقريء	اوانا	3
الجياني	الطاءي	2
الظاهري	مصر	9
القيروان	قفصة	2
جرجان	سامراء	3
البصري	الصواف	4
الهذباني	دمشق	7
البصرة	بست	5
المفسر	الهروي	2
اغمات	المغرب	4
المخزومي	بلنسية	2
الصيرفي	نيسابور	3
البصري	المصيصة	8
صور	طوس	2
الدمشقي	القصير	2
الصوفي	نصيبين	2
الهاشمي	طرسوس	3
التميمي	العالي	2
الرحال	القدس	2
الحوراني	الدمشقي	3
الخزاعي	الدمشقي	5
الشاعر	المذحجي	2
الشام	المصري	41
القدس	فرغانة	2
الحنفي	الهمذاني	2
الفلسطيني	الكندي	2
الجهني	الفقيه	3
الطحاوي	الفقيه	6
الحاكم	السلمي	3
الاشعري	الكاتب	2
الرملة	حران	4
اشبيلية	الشاعر	8
الحنظلي	الكوفة	2
القاءد	سجستان	2
الحبشي	المدينة	3
الحرشي	المصري	2
النيسابوري	الهذلي	3
القزويني	دمشق	10
الصلاحي	عكا	4
المحلي	النحوي	2
الشام	سبتة	3
اليهودي	مصر	8
سمرقند	قيسارية	2
البغدادي	المروزي	23
الطحاوي	بغداد	2
الحريمي	المحدث	3
الاغلبي	طرابلس	2
الكتاني	الواعظ	2
آمد	بغداد	19
الدني	حمص	2
النهاوندي	نهاوند	3
الاندلس	الحاكم	3
البخاري	التاجر	4
المءدب	المالكي	4
الحنفي	المعري	2
الخفاف	نيسابور	3
الدهقان	الصوفي	2
التجيبي	الكندي	4
