URI	REG_MESO	TR	SEARCH	EN	TYPE	LAT	LON	AR	AR_Alt	AR_Sort
SUHRAWARD_486E364N_S	Jibal_RE	Suhraward	Suhraward	NA	towns	48.63061	36.45828	سهرورد	سهرورد	سهرورد
SUWAR_499E544N_S	Khazar_RE	Suwār	Suwar	NA	towns	49.96347	54.45304	سوار	سوار	سوار
SUWARIQIYYA_403E232N_S	JaziratArab_RE	al-Suwāriqiyyaŧ	al-Suwariqiyya	NA	towns	40.35548	23.28483	السوارقية	السوارقية	سوارقية
SUBARA_729E195N_S	Sind_RE	Sūbāraŧ	Subara	NA	towns	72.95093	19.52404	سوبارة	سوبارة	سوبارة
SUKH_712E399N_S	Mawarannahr_RE	Sūḫ	Sukh|Suj	NA	towns	71.21396	39.97506	سوخ	سوخ|سوج	سوخ
SURA_662E284N_S	Sind_RE	Sūraŧ	Sura	NA	towns	66.29529	28.4859	سورة	سورة	سورة
SURU_562E271N_S	Fars_RE	Sūrū	Suru	NA	towns	56.21348	27.19067	سورو	سورو	سورو
SUSA_106E358N_S	Maghrib_RE	Sūsaŧ	Susa	NA	towns	10.6156	35.81044	سوسة	سوسة	سوسة
SUSAQAN_617E376N_S	Khurasan_RE	al-Sūsaqān	al-Susaqan|al-Sawsaqan	NA	towns	61.73152	37.68151	السوسقان	السوسقان|السوسقان	سوسقان
SUQARBAA_485E309N_S	Khuzistan_RE	Sūq=al-Arbaʿāʾ	Suq=al-Arbaa	NA	towns	48.5239	30.94139	سوق=الأربعاء	سوق=الأربعاء	سوق=الاربعاء
SUQHAMZA_039E363N_S	Maghrib_RE	Sūq=Ḥamzaŧ	Suq=Hamza	NA	towns	3.91612	36.3622	سوق=حمزة	سوق=حمزة	سوق=حمزة
SUQKARA_026E361N_S	Maghrib_RE	Sūq=Karā	Suq=Kara	NA	towns	2.69033	36.10305	سوق=كرا	سوق=كرا	سوق=كرا
SUNAJ_662E385N_S	Mawarannahr_RE	Sūnaǧ	Sunaj	NA	towns	66.2654	38.58192	سونج	سونج	سونج
SUWAYDIYYA_359E360N_S	Sham_RE	al-Suwaydiyyaŧ	al-Suwaydiyya	NA	towns	35.99387	36.0896	السويدية	السويدية	سويدية
SIB_448E329N_S	Iraq_RE	al-Sīb	al-Sib	NA	towns	44.8461	32.97916	السيب	السيب	سيب
SIRAWAN_468E335N_S	Jibal_RE	al-Sīrawān	al-Sirawan|al-Shirawan	NA	towns	46.86539	33.52303	السيروان	السيروان|الشيراوان	سيروان
SISAR_469E353N_S	Jibal_RE	Sīsar	Sisar	NA	towns	46.98439	35.31623	سيسر	سيسر	سيسر
SINIZ_502E299N_S	Fars_RE	Sīnīz	Siniz|Shiniz	NA	towns	50.27838	29.92283	سينيز	سينيز|شينيز	سينيز
SHABABAK_550E301N_S	Fars_RE	Šābābak	Shababak|Shabawak|Shahrbabak	NA	towns	55.05872	30.13418	شابابك	شابابك|شاباوك|شهرباباك	شابابك
SHABARAN_487E412N_S	Rihab_RE	Šābarān	Shabaran	NA	towns	48.76916	41.2707	شابران	شابران	شابران
SHATIBA_005W389N_S	Andalus_RE	Šāṭibaŧ	Shatiba	NA	towns	-0.52276	38.96551	شاطبة	شاتبة|شاطبة	شاطبة
SHALUS_514E366N_S	Daylam_RE	Šālūs	Shalus|Salus	NA	towns	51.45535	36.60408	شالوس	شالوس|سالوس	شالوس
SHAMAT_560E297N_S	Kirman_RE	al-Šāmāt	al-Shamat	NA	towns	56.01438	29.76249	الشامات	الشامات	شامات
SHAWAGHAR_683E432N_S	Mawarannahr_RE	Šāwaġar	Shawaghar	NA	towns	68.3157	43.25	شاوغر	شاوغر	شاوغر
SHIBAM_485E159N_S	Yaman_RE	Šibām	Shibam	NA	towns	48.57208	15.92483	شبام	شبام	شبام
SHABRUWA_312E301N_S	Misr_RE	Šabruwā	Shabruwa|Shubru	NA	towns	31.24225	30.11048	شبروا	شبروا|شبرو	شبروا
SHABURQAN_657E366N_S	Khurasan_RE	Šabūrqān	Shaburqan|Ushburqan	NA	towns	65.78352	36.65136	شبورقان	شبورقان|أشبورقان	شبورقان
SHIHR_495E147N_S	Yaman_RE	al-Šiḥr	al-Shihr	NA	towns	49.5998	14.76671	الشحر	الشحر	شحر
SHADHUNA_059W364N_S	Andalus_RE	Šaḏūnaŧ	Shadhuna|Shaduna	NA	towns	-5.91433	36.4664	شذونة	شذونة|شدونة	شذونة
SHARJA_428E163N_S	Yaman_RE	al-Šarǧaŧ	al-Sharja	NA	towns	42.80636	16.32481	الشرجة	الشرجة	شرجة
SHIRWAN_487E411N_S	Rihab_RE	Širwān	Shirwan|Sharwan	NA	towns	48.75339	41.11585	شروان	شروان|شروان	شروان
SHARISH_061W366N_S	Andalus_RE	Šarīš	Sharish	NA	towns	-6.10856	36.69169	شريش	شريش	شريش
SHATA_318E314N_S	Misr_RE	Šaṭā	Shata	NA	towns	31.87094	31.40557	شطا	شطا	شطا
SHATNUF_310E302N_S	Misr_RE	Šaṭnūf	Shatnuf	NA	towns	31.06351	30.23314	شطنوف	شطنوف	شطنوف
SHAKKI_472E413N_S	Rihab_RE	Šakkī	Shakki	NA	towns	47.20469	41.34856	شكي	شكي	شكي
SHALJI_716E425N_S	Mawarannahr_RE	Šalǧī	Shalji	NA	towns	71.66129	42.59356	شلجي	شلجي	شلجي
SHALANBA_520E356N_S	Daylam_RE	Šalanbaŧ	Shalanba	NA	towns	52.04723	35.68449	شلنبة	شلنبة	شلنبة
SHAMSINIYYA_409E358N_S	Aqur_RE	al-Šamsīniyyaŧ	al-Shamsiniyya|al-Shamsaniyya	NA	towns	40.90954	35.86703	الشمسينية	الشمسينية|الشمسانية	شمسينية
SHAMKUR_460E409N_S	Rihab_RE	Šamkūr	Shamkur	NA	towns	46.06157	40.99521	شمكور	شمكور	شمكور
SHANTARIN_087W392N_S	Andalus_RE	Šantarīn	Shantarin	NA	towns	-8.71712	39.22337	شنترين	شنترين	شنترين
SHAHRAZUR_460E352N_R	Jibal_RE	Šahrazūr	Shahrazur	NA	towns	46.01676	35.25767	شهرزور	شهرزور	شهرزور
SHIHMAR_528E361N_S	Daylam_RE	Šihmār	Shihmar|Sihmar	NA	towns	52.86652	36.16111	شهمار	شهمار|سهمار	شهمار
SHAWDHAR_033W378N_S	Andalus_RE	Šawḏar	Shawdhar	NA	towns	-3.34803	37.87641	شوذر	شوذر	شوذر
SHURAB_487E312N_S	Khuzistan_RE	Šūrāb	Shurab	NA	towns	48.79726	31.20731	شوراب	شوراب	شوراب
