id	region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	translitTitleOther	arTitleOther	searchNames	arBW
KARWAN_718E414N_R_TRAN	Transoxiana	71.83079	41.48396	regions	district	Karwān	كروان	Karwān	كروان	Karwan	Karwan
NAHRSHASH_719E409N_W_TRAN	Transoxiana	71.95478	40.94221	waters	riviere	Nahr Šāš	نهر شاش	Nahr Šāš, Ṣayḥūn	نهر شاش، صيحون	Nahr Shash, Sayhun	Nahr Shash, Sayhun
JIDGHIL_719E413N_R_TRAN	Transoxiana	71.97221	41.30084	regions	region	Ǧidġil	جدغل	Ǧidġil	جدغل	Jidghil	Jidghil
FARGHANA_720E403N_R_TRAN	Transoxiana	72.02839	40.33989	regions	region	Farġānaŧ	فرغانة	Farġānaŧ	فرغانة	Farghana	Farghana
USHTIQAN_720E406N_S_TRAN	Transoxiana	72.05745	40.67718	towns	cite	Uštīqān	أشتيقان	Uštīqān	أشتيقان	Ushtiqan	Ushtiqan
ZANDARAMASH_720E402N_S_TRAN	Transoxiana	72.08263	40.24237	towns	cite	Zandarāmaš	زندرامش	Zandarāmaš	زندرامش	Zandaramash	Zandaramash
KULSHUB_721E428N_S_TRAN	Transoxiana	72.10394	42.88984	waystations	etape	Kūl Šūb	كول شوب	Kūl Šūb	كول شوب	Kul Shub	Kul Shub
QUBA_721E405N_S_TRAN	Transoxiana	72.18143	40.55660	towns	cite	Qubā	قبا	Qubā	قبا	Quba	Quba
ARDALANKATH_722E412N_S_TRAN	Transoxiana	72.25505	41.28774	towns	cite	Ardalānkaṯ	أردلانكث	Ardalānkaṯ	أردلانكث	Ardalankath	Ardalankath
ANDIKAN_724E408N_S_TRAN	Transoxiana	72.45652	40.81221	towns	cite	Andikān	أندكان	Andikān	أندكان	Andikan	Andikan
JULSHUB_724E428N_S_TRAN	Transoxiana	72.49720	42.89268	waystations	etape	Ǧūl Šūb	جول شوب	Ǧūl Šūb	جول شوب	Jul Shub	Jul Shub
NUQAD_727E403N_R_TRAN	Transoxiana	72.76260	40.34137	regions	region	Nuqād	نقاد	Nuqād, Naqād	نقاد، نقاد	Nuqad, Naqad	Nuqad, Naqad
FAMIR_727E375N_R_TRAN	Transoxiana	72.79201	37.57252	regions	region	Fāmir	فامر	Fāmir	فامر	Famir	Famir
USH_728E405N_S_TRAN	Transoxiana	72.85752	40.53599	towns	cite	Ūš	أوش	Ūš	أوش	Ush	Ush
KULAN_729E428N_S_TRAN	Transoxiana	72.94179	42.87068	waystations	etape	Kūlān	كولان	Kūlān	كولان	Kulan	Kulan
MIRKI_731E428N_S_TRAN	Transoxiana	73.19654	42.81670	towns	cite	Mīrkī	ميركي	Mīrkī	ميركي	Mirki	Mirki
UZJAND_733E408N_S_TRAN	Transoxiana	73.39026	40.81074	towns	cite	Ūzǧand	أوزجند	Ūzǧand	أوزجند	Uzjand	Uzjand
NAHRKHURSHAB_734E403N_W_TRAN	Transoxiana	73.45613	40.37680	waters	riviere	Nahr Ḫuršāb	نهر خرشاب	Nahr Ḫuršāb, Nahr Ḫaršāb, Nahr Ḫaršān	نهر خرشاب، نهر خرشاب، نهر خرشان	Nahr Khurshab, Nahr Kharshab, Nahr Kharshan	Nahr Khurshab, Nahr Kharshab, Nahr Kharshan
ASBARA_735E427N_S_TRAN	Transoxiana	73.56945	42.77192	villages	localite	Asbaraŧ	أسبرة	Asbaraŧ	أسبرة	Asbara	Asbara
NUSHKATH_742E427N_S_TRAN	Transoxiana	74.26008	42.77832	towns	cite	Nūškaṯ	نوشكث	Nūškaṯ, Nūzkaṯ	نوشكث، نوزكث	Nushkath, Nuzkath	Nushkath, Nuzkath
KHARANJAWAN_745E428N_S_TRAN	Transoxiana	74.54582	42.83233	towns	canton	Ḫaranǧawān	خرنجوان	Ḫaranǧawān	خرنجوان	Kharanjawan	Kharanjawan
KHARLUKHIYYA_747E423N_R_TRAN	Transoxiana	74.76957	42.38249	regions	region	al-Ḫarluḫiyyaŧ	ﭐلخرلخية	al-Ḫarluḫiyyaŧ	ﭐلخرلخية	al-Kharlukhiyya	al-Kharlukhiyya
JUL_747E428N_S_TRAN	Transoxiana	74.79378	42.84796	waystations	etape	Ǧūl	جول	Ǧūl	جول	Jul	Jul
SARIGH_752E428N_S_TRAN	Transoxiana	75.26356	42.80107	waystations	etape	Sāriġ	سارغ	Sāriġ	سارغ	Sarigh	Sarigh
ATBASH_758E411N_S_TRAN	Transoxiana	75.81567	41.16025	villages	localite	Aṭbāš	أطباش	Aṭbāš, Ṭabāš	أطباش، طباش	Atbash, Tabash	Atbash, Tabash
NAWIKATH_758E430N_S_TRAN	Transoxiana	75.87766	43.06700	towns	cite	Nawīkaṯ	نويكث	Nawīkaṯ	نويكث	Nawikath	Nawikath
KUBAL_762E432N_S_TRAN	Transoxiana	76.21861	43.21825	villages	localite	Kubāl	كبال	Kubāl	كبال	Kubal	Kubal
