source,target,weight,distance
GHURAYZ_394E353N_S_AQUR,RUSAFA_387E356N_S_SHAM,0.14333835,69765
ARABAN_406E360N_S_AQUR,KHANUQA_398E357N_S_AQUR,0.115279091,86746
MUBARAK_398E355N_S_AQUR,KHANUQA_398E357N_S_AQUR,0.52551369,19029
FAMNAHRSAID_401E353N_S_AQUR,MUBARAK_398E355N_S_AQUR,0.252289527,39637
QARQISIYYA_404E351N_S_AQUR,KHANUQA_398E357N_S_AQUR,0.111901884,89364
MIKISIN_407E357N_S_AQUR,ARABAN_406E360N_S_AQUR,0.276609869,36152
HUSAYN_407E356N_S_AQUR,MIKISIN_407E357N_S_AQUR,0.705417607,14176
SUWWAR_406E354N_S_AQUR,HUSAYN_407E356N_S_AQUR,0.656383328,15235
FUDAYN_405E354N_S_AQUR,SUWWAR_406E354N_S_AQUR,0.975800156,10248
QARQISIYYA_404E351N_S_AQUR,FAMNAHRSAID_401E353N_S_AQUR,0.289008988,34601
QARQISIYYA_404E351N_S_AQUR,FUDAYN_405E354N_S_AQUR,0.29992202,33342
SUKAYRABBAS_405E352N_S_AQUR,FUDAYN_405E354N_S_AQUR,0.518054188,19303
QARQISIYYA_404E351N_S_AQUR,SUKAYRABBAS_405E352N_S_AQUR,0.523423188,19105
QASABA_397E350N_S_AQUR,GHURAYZ_394E353N_S_AQUR,0.246700382,40535
RAHBAMALIKIBNTAWQ_404E349N_S_AQUR,QARQISIYYA_404E351N_S_AQUR,0.548726953,18224
FASH_405E349N_S_AQUR,RAHBAMALIKIBNTAWQ_404E349N_S_AQUR,0.836330183,11957
AWAMIL_400E349N_S_AQUR,QASABA_397E350N_S_AQUR,0.30162273,33154
QAMARTI_404E348N_S_AQUR,AWAMIL_400E349N_S_AQUR,0.282797432,35361
ROUTPOINT0207_380E379N_O_NODA,ZIBATRA_379E380N_S_AQUR,0.385564466,25936
HADATH_375E377N_S_AQUR,ZIBATRA_379E380N_S_AQUR,0.19062506,52459
HISNMANSUR_380E378N_S_AQUR,ROUTPOINT0207_380E379N_O_NODA,1.051082615,9514
HISNMANSUR_380E378N_S_AQUR,HADATH_375E377N_S_AQUR,0.204565911,48884
SUMAYSAT_385E375N_S_AQUR,HISNMANSUR_380E378N_S_AQUR,0.179227529,55795
ROUTPOINT0206_385E375N_O_NODA,SUMAYSAT_385E375N_S_AQUR,2.157031924,4636
RUHA_388E371N_S_AQUR,JULLAB_389E374N_S_AQUR,0.32389713,30874
ROUTPOINT0206_385E375N_O_NODA,MUZANIYYA_385E372N_S_AQUR,0.41300128,24213
RUHA_388E371N_S_AQUR,ROUTPOINT0206_385E375N_O_NODA,0.216924445,46099
MUZANIYYA_385E372N_S_AQUR,MUZANIYYA_385E372N_S_AQUR,0.284082839,35201
RUHA_388E371N_S_AQUR,ROUTPOINT0205_390E368N_O_NODA,0.274190453,36471
MUZANIYYA_385E372N_S_AQUR,RUHA_388E371N_S_AQUR,0.257042978,38904
TALLABDA_387E366N_S_AQUR,MUZANIYYA_385E372N_S_AQUR,0.243421533,41081
JISRMANBIJ_382E366N_S_AQUR,MUZANIYYA_385E372N_S_AQUR,0.251578656,39749
TALLABDA_387E366N_S_AQUR,JISRMANBIJ_382E366N_S_AQUR,0.219019668,45658
ROUTPOINT0205_390E368N_O_NODA,TALLABDA_387E366N_S_AQUR,0.271547276,36826
HARRAN_390E368N_S_AQUR,ROUTPOINT0205_390E368N_O_NODA,3.331112592,3002
TALLMAHRA_391E366N_S_AQUR,HARRAN_390E368N_S_AQUR,0.336711674,29699
ROUTPOINT0203_392E364N_O_NODA,HARRAN_390E368N_S_AQUR,0.184471213,54209
HISNMASLAMA_390E363N_S_AQUR,TALLMAHRA_391E366N_S_AQUR,0.377543701,26487
AYNRUMIYYA_389E363N_S_AQUR,TALLABDA_387E366N_S_AQUR,0.240361504,41604
BAJARWAN_389E361N_S_AQUR,AYNRUMIYYA_389E363N_S_AQUR,0.403242066,24799
ROUTPOINT0204_390E361N_O_NODA,BAJARWAN_389E361N_S_AQUR,3.416467373,2927
RAQQA_390E359N_S_AQUR,ROUTPOINT0204_390E361N_O_NODA,0.532056398,18795
HISNMASLAMA_390E363N_S_AQUR,ROUTPOINT0204_390E361N_O_NODA,0.316726317,31573
ROUTPOINT0203_392E364N_O_NODA,HISNMASLAMA_390E363N_S_AQUR,0.512873115,19498
KHANUQA_398E357N_S_AQUR,ROUTPOINT0203_392E364N_O_NODA,0.112139052,89175
ROUTPOINT0207_380E379N_O_NODA,MALATIN_383E383N_S_AQUR,0.176978621,56504
ARQA_379E383N_S_AQUR,MALATIN_383E383N_S_AQUR,0.278094497,35959
ZIBATRA_379E380N_S_AQUR,MALATIN_383E383N_S_AQUR,0.193535901,51670
MARASH_369E375N_S_AQUR,HADATH_375E377N_S_AQUR,0.181320375,55151
MANBIJ_379E365N_S_AQUR,JISRMANBIJ_382E366N_S_AQUR,0.348432056,28700
BALIS_380E360N_S_SHAM,MANBIJ_379E365N_S_AQUR,0.177683014,56280
SUKAYRABBAS_405E352N_S_AQUR,JIBAL_416E362N_S_AQUR,0.068620051,145730
JIBAL_416E362N_S_AQUR,ARABAN_406E360N_S_AQUR,0.115684505,86442
MIKISIN_407E357N_S_AQUR,JIBAL_416E362N_S_AQUR,0.101010101,99000
JIBAL_416E362N_S_AQUR,SINJAR_418E363N_S_AQUR,0.379636308,26341
BAAYNATHA_424E366N_S_AQUR,BARQAID_420E369N_S_AQUR,0.212716173,47011
BALAD_427E364N_S_AQUR,BAAYNATHA_424E366N_S_AQUR,0.265540774,37659
THAMANIN_426E373N_S_AQUR,JABALJUDI_425E373N_O_AQUR,0.248681985,40212
HASANIYYA_427E371N_S_AQUR,THAMANIN_426E373N_S_AQUR,0.408830744,24460
MALATHAYA_429E368N_S_AQUR,HASANIYYA_427E371N_S_AQUR,0.227071459,44039
MAZARII_430E366N_S_AQUR,MALATHAYA_429E368N_S_AQUR,0.458421197,21814
BAQIA_433E356N_S_AQUR,SINN_434E352N_S_IRAQ,0.231465407,43203
HADITHA_433E360N_S_AQUR,BAQIA_433E356N_S_AQUR,0.220550936,45341
MARJJUHAYNA_432E361N_S_AQUR,HADITHA_433E360N_S_AQUR,0.464468184,21530
NINAWA_431E363N_S_AQUR,MAZARII_430E366N_S_AQUR,0.295325005,33861
MAWSIL_431E363N_S_AQUR,MARJJUHAYNA_432E361N_S_AQUR,0.407846976,24519
MAWSIL_431E363N_S_AQUR,NINAWA_431E363N_S_AQUR,1.98019802,5050
SHAHHAJIYYA_429E362N_S_AQUR,MAWSIL_431E363N_S_AQUR,0.62810125,15921
BALAD_427E364N_S_AQUR,MAWSIL_431E363N_S_AQUR,0.263102505,38008
MAHLABIYYA_427E362N_S_AQUR,SHAHHAJIYYA_429E362N_S_AQUR,0.550055006,18180
TALLAFAR_424E363N_S_AQUR,BALAD_427E364N_S_AQUR,0.371209028,26939
TALLAFAR_424E363N_S_AQUR,MAHLABIYYA_427E362N_S_AQUR,0.364790428,27413
SINJAR_418E363N_S_AQUR,TALLAFAR_424E363N_S_AQUR,0.182781941,54710
BAMAQARA_393E377N_S_AQUR,JARNAN_396E379N_S_AQUR,0.306475834,32629
JULLAB_389E374N_S_AQUR,BAMAQARA_393E377N_S_AQUR,0.185604514,53878
SUMAYSAT_385E375N_S_AQUR,MALATIN_383E383N_S_AQUR,0.097378569,102692
QASRIBNNAZI_403E374N_S_AQUR,AMID_402E379N_S_AQUR,0.167962779,59537
KAFARTUTHA_404E369N_S_AQUR,QASRIBNNAZI_403E374N_S_AQUR,0.205630154,48631
RASAYN_400E368N_S_AQUR,KAFARTUTHA_404E369N_S_AQUR,0.263137121,38003
RASAYN_400E368N_S_AQUR,HARRAN_390E368N_S_AQUR,0.110561987,90447
ROUTPOINT0203_392E364N_O_NODA,RASAYN_400E368N_S_AQUR,0.1147987,87109
ROUTPOINT0208_407E371N_O_NODA,KAFARTUTHA_404E369N_S_AQUR,0.324149109,30850
DUNAYSIR_405E371N_S_AQUR,MARDIN_407E373N_S_AQUR,0.508207552,19677
ROUTPOINT0208_407E371N_O_NODA,DARA_409E371N_S_AQUR,0.442752147,22586
ROUTPOINT0208_407E371N_O_NODA,DUNAYSIR_405E371N_S_AQUR,0.905223138,11047
NASIBIN_412E370N_S_AQUR,ROUTPOINT0208_407E371N_O_NODA,0.21142096,47299
NASIBIN_412E370N_S_AQUR,DARA_409E371N_S_AQUR,0.334672021,29880
TALLFARASHA_413E369N_S_AQUR,NASIBIN_412E370N_S_AQUR,0.732654407,13649
ADHRAMA_417E369N_S_AQUR,TALLFARASHA_413E369N_S_AQUR,0.297557057,33607
BARQAID_420E369N_S_AQUR,ADHRAMA_417E369N_S_AQUR,0.310761677,32179
